clean_review,sentiment
worthy affordable great tv good product really worth money better product budget product review nice tv best product budget friendly tv oneplus tv great want affordable middle range features tv got offer totally worth pros sound awesome satisfied quality sound dolby audio w speakers really great sure affordable tv size slim slim looks stylish light weight handy install easy install mount wall tye software installation set easy anyone home gets integrated mobile apps remote wifi networks quickly easily overall sign process app installations quick automatic supports smart features like netflix prime youtube easily installable sign start using quickly also easy scan setup box channels start viewing cons picture quality p average clear worth price range complaint cost tv affordable quality justified bluetooth wifi connection disconnect sometimes cause issues encountered disconnect issue reset complete device complete sign rest good loved product feel worth ordering looking something medium range need old parents extensive smart use go want use lot smart features ott platforms watch movies sports go better version full hd k quality tv give good experience sports due less picture quality good daily family shows tv channels one last thing want express ver disappointed got order delivered friday scheduled installation saturday nobody turned day reschedule tuesday morning even today nobody turned got call amazon reschedule tuesday evening still nobody turned bad irresponsible service oneplus amazon disappointed service highly criticize behavior company always take care customer satisfaction failed guys expect us wait days get tv installed even delivered wait guys come many days even smart tv delivered home wait enjoy guys done job properly least keep decency respect customers paying big amount ordering big item company take care money spent worth facing issues highly disappointed behavior service good product connectivity faster performance little bit slower biggest problem face aux cable able connect sound bar hdmi port useless work connect via bluetooth problem connect automatically everytime tv need connect manually basic feature provided tv another drawback fast beginning months super laggy even update yeaa price range picture quality outstanding good quality picture volume little bit low product nice budget friendly happy days tv perform slowly remote sentence thank amazon oneplus sound good easy installation slim less weight voice recognition good likebudget friendlydislikewifi connectivity range poor many times gets disconnected color depth good,Positive
ok cable three pin hybrid wire sturdy nice good good carplay supported product seems works good fast charging cable three ports connected slower charging good single cable three ports ok product yiu looking fast charging would say think twice buyi using foe sure fast charging cable tge lightning charger working properly every check charging iphone unplug reply charging getting disconnected understand cable ok used type c commonly depending devices power wats also etc nice charger charging bit slow u connect multiple devices cannot transfer data charging purpose nice colour cheap best cable looks decent charging fit support apple car play,Positive
good product using spare cable car sturdy durable fast charging good brand like original apple cable one best wire super well build quality product worth money good product fast charging cable seems good quality used much keep backup car good sturdy durable supports fast charging thing little expensive nice product writing review days usage product found durable sturdy also good travelling keep bags without kind box would recommend best wire type c lighting connector go buy worth money value money happy product quality good durable,Positive
buy dont even nd guess quality good nylon braided quiet sturdy amazing feels like steel harnessed wire strong sturdy durable useful charging power banks good nice quality one amazing cable bucks ok charging looks sturdy durable fast charging upto watts length really durable bought like th time passed older cables family members still working state bought almost last three years post heavy usage gonna buy good quality good quality usb c charging cable enables fast charging samsung well g w seeking phones metre cable length helpful keeping phone desk charging adaptor plugged electric outlet best value similar cable costs x x retail market best price great product wanted portable battery usb slot ipad kindle reader usb c ports fits requirement perfectly charges fast good good overall,Positive
nice good paisa vassol sturdy long good price great quality works expected good good sufficient length excellent build quality good alternative generic cables strong cable cable ends nearly like rubber gold coated cable also high thickness bought dvr rack dvr far reach limit hence need mouse connected usb port dvr rack reachany alternatives wireless mouse work well particular dvr lots lag hence resort usb port extender ample lengthresult sturdy cable able connect dvr connection stable amazon basics reliable cable good device needs extension usb like printers tvs gaming consoles keyboards etc build quality good cable material soft break connectors gold plated rust remember cable give usb speeds even connect usb port usb usb used behave usb type adirection female malefunction extension length usbbuilt average cloth fibre braiderlength mentionedworks connections yes including pc printer console pen drive etc product per description good expected,Positive
good product good charging bad data transfer wait get mexmum discount cable quality best charging pin right position stand far super good good issues design maine liya hai offer ye worth hai cable build quality good normal charging great cable support quick charging works charging applications hit miss example external keyboard work best quality length wire qute good durability also good cable awesome charging issue till braided cable chance damage less overall like product using cable past days charge lg g thinq samsung fe far super good seems durable problem design pin long enough base pin thick insert phone charging port without removing case quality bht achhi hai bs jo braided material use hua hai wo nylon nhi hai cotton type ka hai lekin cable k hisaab se bht achhi hai majboot hai charging bhi thik hai maine chapti wali buy ki thi jo photo dikh rhi hai lekin delever ye gol wali hui jo ki jada better look deti hai agar mile mt lena utne layak nhi hai,Positive
great cable charging speeds could better good good cable one best type c cable works intended good buy extra length helps lot good ok charging fast expected maybe something wrong unit however cable overall actually pretty decent material great bend shape easily looks feels premium length definitely plus good sturdy cable mobile charging month using charging cable works well fe g thumbs braided cable sturdy built well long cable adds extra reach tangle free good buy extra length helps lot good product ok,Positive
good genuine product first charge cabil nice cable known durability got used type c c cable xable damaged product genuine good abdul kadir good buy received good condition working properly price cabil good also short using months charging phone good way really value money recommend cable cable perfect charging devices support super fast charging used vehicle chargers adapters sturdy durable daily use best cable ever used amazon worth guys take good quality priced,Positive
metal pin losing strength sahi h bs rupe ki dilivery charge good charging cable good sturdy micro usb cable good charging speeds cheapest micro usb cable market boat better bought rs best charging cable mobiles good good data cable recommend purchase issue metal pin fixed firmly become loose otherwise issue must purchase cable sturdy fast charging cable three outlets job good sturdy micro usb cable good charging speeds please raise prices nice product simpla microusb cable best price good one,Neutral
pretty good average quality good useful usb cable good usb cable experience good long lasting good nice product useful sturdy support w charging good product like good item strong useful usb cablevalue moneythanks amazon producer product useful product sturdy support w charging,Neutral
good worth buy great value price good product nice product reliable worth much sturdy durable apple cable good good budget mfi certified lightly cable price update usage review months better original one matter robustness durability better prospect charging far better durability original apple wire think buy blindly worth buy mfi certified ios device damaged small negative point packaging quality product charger great carry accessory travelling without risking original charger price also affordable charging speed good good adaptor power bank good product recommend thing see issue material cable threads peels stick velcro materials wise good product charges well like original nice reliable worth cable shipped box made apple felt less sturdy reliable using one two times felt would break quickly lighting port order amazon basics cable miles better apple mifi certified,Positive
worth good one robust effective good good good product rupees neatly packed good quality built nice product worth price job really well complaints regarding charging power price rs worth every buck although cable bit shorter original one original oneplus cable around rs huge price difference job original one useful c type charging suitable adapters usb points serves purpose sturdily built job well charged samsung galaxy quicker original cable hope stays going ahead liked charging speed disliked length ipads awesome foot long point think otherwise best cable good everything good including connectivity stuff nice product im using car product nice worth amount recommend anyone looking kind cable,Positive
decent product value money value money improvements needed everything thing good except installation experience overall taking aspects tv good within price point tv installation services one among good tvs market picture posting weeks using product usage continuous ott cable dish operator average daily usage hours tv great value money product installation installation simple amazon assisted installation smooth timely hassle free picture picture quality great compared smoothness sony lg samsung kind specs movies especially hi res tv series experience somewhat diluted times output hi res look like movie quality used watching likes sony samsung lg etc however time get used realize difference see movie someone else better tv sound sound output decent need additional support enhance volume remote sleek sensitive user friendly exactly like amazon remote os smart android tv works smoothly without much lags hiccups switching apps one another takes couple seconds sony unless used performances looks fine standalone first smart tv find reasons like quality would like hi res beginning great value money product without doubt however considering alternative second tv owning better ones past hard time adjusting picture quality good price faced lag ui browsing apps negative audio definitely need sound bar u frequent movie watcher overall worth money u spend installation process awful amazon claiming trained professional visit installation neither trained professionals read installation manuals installed wall mount took hours buy wall mount charging money demo given tv idea product things making think twice thrice buy tv online screen looks amazing problem processor believe k content getting streamed device observe green screen flickers often problem exists even remote control good take least sec react user action reason believe processor bad k gaming using ps never encountered problem screen buy tv small town shop delivered installed immediately within couple hours want buy tv amazon need wait delivered couple days understandable problem installation take much time install end regretting buying product like hungry food front eat ordered tv monday got delivered friday installed monday weekend concept weekend small towns technician details could reach get installed also shared hours regarding product good quality good average user heavy duty like games continuous usage store challenging guess tv gives good results within budget definitely buy budget k important point like mention sales service also installation part installation guy arrive first day scheduled even rescheduling came installation purpose strictly aware point tv got offer k discount icici card although product came defective dead pixel display bad period time even fault seller defective piece got replacement product totally unfair deal amazon seller final verdict tv quality feature good service seller amazon got poor inspite prime member seller dawntech electronics private limited gives poor service feel bad cases amazon help thankyou team also added tv installation services product delivering unboxing need sub vendor getting installation demo also dependency third party involvement less bad experience tv installation stuff pls look picture quality good sound quality upto xpectations able find real dolby stereo effect remote upto mark picture quality sound remote quality good quality picture hangs home screen,Positive
product expected cable problem samsung galaxy ultra tablet quality service good perfect definitely needed worth buying cable awesome fast charge sturdy build quality absolute value money product yrs warranty go good type available half prize make amazon cable good well built supports sort charging protocols samsung galaxy ultra seems issues falls back slower charging second two ultra fast charging plugged works fine devices fine quality yhe cable good cable working months duracell team responsive replaced item immediately service good one problem thickness pin must improved product upto expectations worth price braiding really good may need buy another cable worth buying cable durable tough material much durable super fast charging long lasting due sturdiness strong build quality absolute value money product plus yrs warranty sometime bit difficult fold cable due sturdy build ok looking edge go real value money sturdy priced,Positive
functionality described working great usb budget good good works works casio ct x well still working months using satisfactory working good also expensive using audio transition yamaha mgxu sound mixer laptop live purpose excellent quality bought one half month works well satisfied good quality cheap price great price works usb mic fantastically well find usb b side bit loose compared original oem cables ordered several pairs least mic loose called unusable works casio ct x well,Positive
detailed review weeks usage priceworthy good product good vivid picture quality stunning super deal value money nice note select brand authorized tv installation unbox tv mi representative arrives ensures tv damaged transportation get replacement easily choose installation shoot video unboxing avoid hassle case replacement needed amazon prime netflix inbuilt side loaded use set top box android interface need buy mi ir cable set else directly connect set box via av hdmi port use conventionally gb memory get around gb free use check image attached hundreds review tv well youtube none explains tv potential completely actual flaws quick fact user complaining less cost benefits ratio guys buy android tv box alone processing capacity similar tv would alone cost k rupees get tv android setup various feature k check options complaining eventually bought tv since already using version months wanted smaller version bedroom using tv weeks stating detailed user experience detailed huge review read want invest much amount want get quick overview device read else scroll detailed review firstly budget friendly smart tv k current market number output port av hdmi usb android box along inbuilt bluetooth dual interface mi patchwall android tv mostly prefer android tv interface remote bluetooth voice search sleek profile better processor compared predecessor along gb ram gb storage gb actual speaker output low need ir cable using set top box android interface amazon prime netflix preloaded side loaded native display hd though p even k videos youtube works well check images attached install play tons high quality games like rr etc check images attached finally smartphone mirroring works fine time full detailed review built quality combination plastic aluminium main body great average table top stands looks bit flimsy workable screws provided box fits tv perfectly bought new local store averagely slim profile slimmest market speaker placement inconvenient since placed bottom keep table top sound tends dampen bulge good ventilation electronics hardly heats overall built quality average display quality thin bezels looks great video resolution x p p videos works fine k videos youtube runs smoothly well viewing angle good compared price check images attached contrast average brightness good colours quite vivid display quality also average great remote control sleek compact buttons easy operate fortunately volume buttons handy couple android tv boxes without volume button remote know pain using mouse adjust volume p placement voice search button improper power button end pressing power button lot finally bluetooth need point towards tv operation features dual interface e patchwall android tv tons content many games installed till memory left including multiplayer games google voice search useful want use keyboard processing speed fast detected lags yet lags streaming due slow internet speed due hardware bluetooth wifi connectivity works perfectly cons speaker output though rated w upto mark w jbl speakers better louder sound placement speaker inconvenient table top position speakers face table sound dampens internal memory less netflix amazon prime pre loaded though side load miracast supported even normal smartphone mirroring lags sometimes native resolution p hd though p videos works usb k youtube screen slightly reflective similar almost led tv mixed experiences sales service customer care firstly installation joke installation scheduled days product delivery fun part days replacement window product p company takes replacement product opened representative point return window time frame mi mixed reviews repairs services though encountered problem mi tv yet issues mi products service center near always helpful verdict considering facts fine average display quality want smart tv tight budget tv certainly go trust get better deal least coming couple months higher budget certainly explore brands like sony samsung etc perfect smart tv given price years warranty brainer choose certainly worth investment television definitely perfect balance price performance especially flash sale exceptional price performance processor smart tv powerful enough play k bit hevc videos right box vlc mx player installed enhanced media support picture quality many people complain overbright screen compensated adjusting display settings preferred settings backlight night even lowest value bright enough watch content without hurting eyes day time adjust per requirement depending ambient lighting conditions maximum would enough setting backlight minimum improves black levels reduces power consumption increases led life reduces eye strain especially night brightness brightness setting controls black level increasing brightness reduces black levels hence reduces contrast brightness pictures looks washed poor blacks color saturationat black looks deep lots details dark areas lost watching movies optimal setting eyes good blacks lack details contrast contrast setting controls white level contrast set anywhere increasing contrast much may cause highlight areas picture like bright skies shiny objects might look overexposed screen bright increasing contrast makes whites look bright also colors gets washed increasing contrast saturation color saturation set anywhere colors look natural colors looks bit punchy still personal preference settings black levels colors pleasing watching demo videos oled tvs youtube p following youtube videos help check black level quality tv lg k oled beauty black demolg oled eclipse demolg hd demo art nouveaufull hd k videos looks sharp tv downloaded sample k hevc video named life untouched also k hevc sample movie elysium played smoothly tv good details screen quality think va panel quality sits right tn ips panels screen glossy hence reflective might problem tv placed room windows facing like lcd panels also also got uneven screen uniformity noticed plain dark grey backgrounds watching movies content problem screen non uniformity common issue even high end tvs big brands like lg samsung etc luckily backlight bleeding unit received viewing angles average loss contrast even low angles common va panel characteristic ips panels good viewing angles expected price point lcd panel technologies strengths weaknesses ips panels good viewing angles poor black levels va panels excels black depth despite average viewing angles tv got impressive black levels sound quality bass bit weak think bass improved following updates giving stars loud even low volume midrange treble good even minute high pitched click tick sounds movies heard clearly edit previous review mentioned eq settings sounds good hz hz hz hz hz high value hz actually make sound muddy muffled following settings sounds much better reason hz bassfrequency setting deep bass male vocals instruments like kick drum toms snare etc hz low midrangeenhances bass depth male vocals increasing hz much makes sounds muddy muffled reducing clarity high frequency sounds hz midrangeimparts metallic tone increasing makes sound tinny unpleasant hz upper midrangevocals especially female sounds best frequency value enhances vocal quality increasing much makes vocals harsh hz trebleadds crispiness sparkle vocals instruments enhances tinkling sounds metallic instruments human ear sensitive midrange upper midrange frequencies hz setting values high cause listening fatigue even increasing hz disturbing great sound performance especially bass even expected television budget considering midrange frequency clear treble loudness deserves stars remote control minimalism great minimalism less functionality great addition ofmute tv settings video input selection buttons would made remote functional app support update tv released support netflix amazon prime pie update supports netflix amazon prime tv deserves stars app support pros cons pros powerful processor k media playback app installation via usb built chromecast bluetooth remote voice commandcons update previously main issues tv lack autoplay function standby option latest update issues solved tv turned automatically go previous input sourceto enable go settngs inputs enable stay previous source option screen feature also added new update long pressing power button show screen option disadvantage left tv lack miracast latest update build pi miracast included perfect sum overall considering picture quality powerful hardware price tv definitely deserve stars devoid average audio quality glossy screen tvs market features price point also xiaomi got strong service support across india new brands like iffalcon blaupunkt thomson etc might provide better options competitive price comes service centres dead end much satisfied purchase good product good like best tv budget recommend stunning picture quality dts surround osm lagging problem miracast good build quality good sound bass excellent product good sound quality crisp worth buying brought years back still working fine good quality,Positive
dual bandwidth good simple effective easy plug play mbps support great device old laptops good device careful defective one excellent speeds coverage easy use good useful using quite sometime supports dual bands signal coverage yet like others good use easy install use excellent product revived old laptop got product reason laptop internal wifi bluetooth stopped working options buy two separate devices solves purpose sticks well dual wifi suggest use ghz ghz bit slow slower regular ghz good device good strength plug play installation needed got defective device first malfunction immediately plugging replaced new one working well using couple months proved much helpful adapter needed moved pc wired wireless different room getting speeds mbps mbps subscription speeds,Positive
slow charging ok product looks good charges slow slow charing poor quality iphone part last two months two ok charger product ok slow charging charging power less takes hours charge even single phone ok type product sturdy although written fast charging however charges quite slow compared original chargers even one mobile charged one time using regular cable takes hrs full charge using cable socket charger showing hrs iphone charger last two months charging fast slow charging amh battery watt charger khant full charge slow charging speed,Neutral
good tool use brand always good overall good better experience useful works well cpplus dvr good plug play u need install driver support till ghz surveillance camera house good quality tool linkwifi signal good nice product overall good better experience funcions properly useful want buy cp plus orange dvr works nice plug play u need install driver support till ghz im using jio wifi supporting g connectivity first reason bought item surveillance camera house view mobile used etc,Positive
overall good works well comment durability using months nice product channel button work compatible every smart tv functionality budget number keys working good go ahead samsung series overall replacement original samsung remote compatible easily samsung uhd tv voice command remote works well comment durability using months uses two aa battery seems durable product quality good channel button work return replaced product th result channel button work good go rather purchasing original one samsung expensive samsung tv tv great original remote started draining battery put new battery every days ideal replacing original remote costly affair k good cheap replacement functionalities except voice rarely use everything works fine except number keys important change channels waste money buy another remote like design,Neutral
